DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Jimmy Butler,Forward,79,0.525,0.383,0.773,2.9,0.607,0.122,0.776,8.5,13.2,11.2,2.4,1.6,9.5,19
Joe Harris,Guard-Forward,78,0.484,0.407,0.722,4.9,0.577,0.506,0.324,3.7,12.4,14.6,1.9,1.4,12.6,23.6
Joel Bolomboy,Forward-Center,81,0.547,0.371,0.713,4.9,0.598,0.104,0.699,14.4,27.2,5.4,1.2,4.6,17.3,21.4
Joel Embiid,Center-Forward,84,0.639,0.2,0.685,8.5,0.655,0.029,0.836,12.7,27.3,11.5,2.3,11.7,21.6,23.4
John Collins,Forward-Center,81,0.602,0,0.729,7.6,0.638,0.002,0.599,15.2,22.6,4.1,1.3,6,11.9,27.8
John Henson,Forward-Center,81,0.505,0.208,0.484,3.4,0.501,0.025,0.365,10.8,24.4,7.8,1.5,10.3,12.9,22.7
John Jenkins,Guard,76,0.521,0.438,0.856,2.4,0.648,0.634,0.339,1.7,8.4,8.2,1.3,0.9,9.2,24.2
Johnny O'Bryant III,Forward,81,0.474,0.222,0.619,6,0.501,0.028,0.434,12.1,20.2,10.2,1.1,3,18.8,28.2
Jon Leuer,Forward,82,0.521,0.368,0.723,4.7,0.559,0.253,0.309,6.3,21.6,12.4,1.1,3.3,10.3,28.4
Jonathan Isaac,Forward,82,0.593,0.348,0.78,4.6,0.614,0.348,0.461,7.7,25.1,7.5,2.4,6.2,13.3,20.3
Jordan Adams,Guard,77,0.548,0.331,0.839,4,0.589,0.371,0.429,5,12.6,13.1,4.6,0.8,8.9,25.3
Jordan Bell,Forward,79,0.622,0.188,0.63,5.4,0.619,0.028,0.339,10.5,21,10.8,2.5,9.5,19.8,15.9
Jordan Bone,Guard,74,0.458,0.353,0.817,2.8,0.519,0.323,0.233,1.6,8.6,30.1,1.5,0.3,14.5,20.9
Jordan Hamilton,Guard-Forward,79,0.475,0.377,0.71,3.3,0.538,0.461,0.218,6.4,16.8,14.2,1.8,1.8,11.7,27.7
Jordan McRae,Guard,77,0.475,0.343,0.769,4.4,0.541,0.439,0.382,2.9,11.7,15.7,1.5,3.3,13.8,27.8
Jordan Mickey,Center-Forward,80,0.527,0.071,0.669,4,0.548,0.02,0.397,8.9,18.8,7,1.3,9.4,17.7,22.4
Jordan Nwora,Forward,81,0.489,0.394,0.785,4.2,0.573,0.458,0.307,5.1,20,8.5,1.7,1.1,12.9,27.1
Jordan Poole,Guard,76,0.519,0.37,0.831,4.1,0.576,0.572,0.261,0.8,10.2,11.9,2.2,0.9,11.8,22.2
Jordan Williams,Center,82,0.528,NA,0.559,5.1,0.54,0,0.544,12.8,24.8,2.8,1.4,3.9,9.4,22.5
Josh Green,Guard,79,0.449,0.361,0.78,4.5,0.528,0.288,0.378,4.8,11.9,16,2.8,1.6,12.6,20.7
Josh Harrellson,Forward-Center,82,0.571,0.31,0.649,5.1,0.576,0.086,0.279,14.9,19.1,4.9,1.9,5.3,13.6,15
Josh Hart,Guard,76,0.592,0.389,0.72,4.8,0.614,0.401,0.377,7.8,15.6,13.3,2.4,1.2,11,22.7
Josh Huestis,Guard,79,0.492,0.319,0.61,4,0.509,0.238,0.318,10,19.9,6.7,1.2,5.9,11.1,17
Josh Jackson,Guard-Forward,80,0.549,0.378,0.566,5.4,0.559,0.21,0.403,8.7,17.5,18.2,3.1,3.5,15.9,27.2
Josh Okogie,Guard,76,0.454,0.382,0.777,4.8,0.55,0.231,0.539,6.4,13.3,13.6,2.6,2.6,12.8,27.4
Josh Richardson,Guard,78,0.516,0.318,0.758,5,0.542,0.306,0.312,3.6,10.7,14.4,2.5,2.5,15.3,19
Josh Selby,Guard,74,0.384,0.362,0.757,4.8,0.489,0.487,0.192,2.4,9.7,17.8,2.3,0.2,20.1,24.4
Julius Randle,Forward-Center,80,0.517,0.167,0.706,4.5,0.567,0.046,0.739,13.3,24.7,10,1,2.6,16.1,25.4
Justin Anderson,Forward-Guard,77,0.481,0.357,0.752,3.8,0.549,0.407,0.398,4.2,13.9,16.5,1.7,4.3,13.6,22.3
Justin Harper,Forward,82,0.557,0.382,0.711,5,0.584,0.421,0.258,7.1,17.8,7.5,1.5,3.6,12.1,24.6
Justin Jackson,Forward,80,0.529,0.339,0.713,2.9,0.545,0.37,0.239,5.9,9.3,15.9,1.3,1.4,9.8,22.5
Justin James,Guard-Forward,79,0.487,0.337,0.731,4.4,0.542,0.3,0.454,3.3,17.9,23.7,1.8,1.9,14.7,30.9
Justin Patton,Center,83,0.683,0.533,0.517,6,0.671,0.051,0.294,8,19,8.5,1.9,5.9,15.1,22
Justin Wright-Foreman,Guard,72,0.555,0.386,0.811,3.3,0.601,0.424,0.3,1.4,10.8,16.3,1.4,0.6,9.9,30.9
Justise Winslow,Forward-Guard,78,0.516,0.418,0.641,5.8,0.572,0.309,0.438,5.4,19.8,13.2,2.8,2.9,14.2,22.9
Kadeem Allen,Guard,73,0.482,0.4,0.725,5.2,0.56,0.277,0.468,1.4,13.2,21.3,2.8,2.6,19.4,18.5
Karl-Anthony Towns,Center-Forward,84,0.577,0.25,0.813,8.8,0.627,0.031,0.523,14.2,22.3,11.6,1.4,11.5,14.2,23.7
Kawhi Leonard,Forward,79,0.497,0.25,0.744,4.9,0.513,0.195,0.312,12.6,25,14.4,2.7,2.2,13.7,26
Keita Bates-Diop,Forward,80,0.537,0.352,0.776,3.4,0.567,0.351,0.274,5.5,20.2,9.3,1.5,5.4,10.7,23.8
Keith Benson,Forward-Center,83,0.562,0.379,0.679,5.3,0.597,0.024,0.63,10.3,25.1,5.2,1.1,8.8,10.3,23.7
Keldon Johnson,Forward-Guard,77,0.498,0.381,0.703,4.3,0.558,0.316,0.416,5.5,16.5,10.4,1.5,0.6,11.8,22.7
Kelly Olynyk,Forward-Center,83,0.634,0.333,0.709,6.8,0.641,0.132,0.501,11.1,20.4,13.1,1.8,3.1,16.6,24.9
Kelly Oubre Jr.,Forward-Guard,78,0.497,0.358,0.718,5.6,0.555,0.383,0.444,6.4,19.2,8.1,3.3,1.8,12.5,23.1
Kemba Walker,Guard,72,0.469,0.326,0.783,2.5,0.539,0.287,0.474,3.5,10.6,26.6,3.2,0.7,13.5,26.2
Kendall Marshall,Guard,76,0.484,0.366,0.693,2.8,0.541,0.323,0.401,0.6,7.8,43.2,2.2,0.4,28.5,14.7
Kenneth Faried,Forward-Center,80,0.572,0.25,0.583,6,0.579,0.009,0.549,18.2,33.9,6,3.3,8.5,14.9,26.1
Kentavious Caldwell-Pope,Guard,77,0.504,0.339,0.752,4.2,0.543,0.539,0.307,4.6,18.8,13.3,3.8,1.6,9.7,27
Kevin Hervey,Forward,81,0.53,0.324,0.768,3.7,0.547,0.439,0.288,7.6,23.1,14.5,2,2.1,12.6,27.8
Kevin Huerter,Guard-Forward,79,0.572,0.394,0.748,3.9,0.603,0.597,0.217,3.2,14.3,19.1,1.5,2.2,16.3,19.3
Kevin Knox II,Forward,79,0.509,0.341,0.774,3.9,0.556,0.38,0.373,3.3,14.5,8.7,1.5,1,14.1,24.6
Kevin Murphy,Guard,78,0.476,0.372,0.734,4,0.542,0.322,0.356,3.3,14.2,14.5,1.6,0.6,17,30
Kevin Porter Jr.,Guard-Forward,76,0.517,0.412,0.522,5.3,0.559,0.433,0.293,4.8,15,12,2.1,2.6,17.9,23.3
Kevon Looney,Forward,81,0.481,0.415,0.626,5.6,0.532,0.165,0.458,12.2,21,9.1,2.5,3.3,10.3,19.7
Khris Middleton,Forward,79,0.494,0.321,0.768,5.1,0.534,0.364,0.345,7,14.4,18.7,2.4,0.9,15.9,25.5
Khyri Thomas,Guard,75,0.578,0.406,0.719,3.6,0.607,0.385,0.25,5,13.6,15.4,2.8,1,14.9,19.6
Kim English,Guard,78,0.444,0.394,0.727,4,0.551,0.494,0.337,3.1,12.2,10.7,2.6,0.8,14.2,23.8
Kira Lewis Jr.,Guard,73,0.498,0.362,0.793,3.5,0.555,0.374,0.303,1.9,9.1,23.5,2,1.2,16.5,23.5
KJ McDaniels,Guard-Forward,78,0.516,0.313,0.767,4.8,0.547,0.322,0.373,9.1,14.9,9.6,2.4,8.5,12.9,26.5
Klay Thompson,Guard,78,0.45,0.39,0.827,4.5,0.55,0.438,0.27,3.3,13.8,20.3,2.6,2.7,15.3,31.9
Kostas Antetokounmpo,Forward,82,0.651,0.133,0.516,9,0.575,0.149,0.634,7.3,16.9,5.9,1,8.3,22.9,20.9
Kris Dunn,Guard,75,0.476,0.354,0.693,5.6,0.531,0.218,0.449,3.9,15.1,40.3,4.1,1.4,21.6,24.6
Kris Joseph,Forward,79,0.501,0.331,0.702,3.4,0.546,0.309,0.497,5.7,12.9,10.6,2.7,2,13.8,21.9
Kyle Anderson,Forward-Guard,81,0.465,0.375,0.736,3.4,0.531,0.143,0.452,6.1,25.3,28,3.2,2.8,18.4,22.2
Kyle Guy,Guard,73,0.444,0.425,0.806,2.5,0.572,0.555,0.158,1.9,10.7,11.9,1.6,0.2,9.1,23.8
Kyle Kuzma,Forward,81,0.567,0.302,0.633,4.4,0.56,0.23,0.367,9.7,20.5,14,0.9,1.8,14.9,25.9
Kyle O'Quinn,Center-Forward,81,0.62,0.261,0.685,6.1,0.602,0.188,0.44,11.6,25.6,8.5,1.1,8.8,16.4,23
Kyle Singler,Forward,80,0.479,0.363,0.773,4,0.548,0.392,0.342,7.5,14,11.9,1.6,1.8,12.6,24.7
KZ Okpala,Forward-Guard,80,0.468,0.331,0.674,5,0.52,0.211,0.505,4.4,12.7,12.4,1.8,1.7,16.8,25.2
Lamar Patterson,Guard-Forward,77,0.483,0.369,0.723,4.9,0.549,0.422,0.359,5.9,14.8,24.3,2.6,1.4,16,22.5
Landry Shamet,Guard,76,0.542,0.437,0.811,4.1,0.641,0.59,0.326,2.2,9.3,25.4,1.5,0.8,13.2,19.8
Larry Nance Jr.,Forward-Center,80,0.551,0.308,0.771,5.2,0.587,0.12,0.438,7.1,22.5,12.7,2.6,4.5,14,22.8
Lauri Markkanen,Forward-Center,84,0.545,0.423,0.835,3.8,0.635,0.434,0.436,10,17.5,5.6,0.8,1.8,8.1,22.5
Lavoy Allen,Forward-Center,81,0.549,0.288,0.671,4.1,0.562,0.06,0.293,10.8,22,14.3,1.1,5,13,19.3
Lonnie Walker IV,Guard-Forward,76,0.487,0.346,0.738,3.4,0.527,0.509,0.204,1.7,9.2,13,2,1.8,9.6,22.4
Lonzo Ball,Guard,78,0.732,0.412,0.673,2.8,0.673,0.566,0.286,3.2,14.3,31.4,2.8,2.1,18.6,18.1
Lorenzo Brown,Guard,77,0.464,0.305,0.741,3.4,0.513,0.22,0.4,2.6,12.3,32.8,3.1,1.5,21.1,21.8
Luke Kennard,Guard,77,0.526,0.383,0.867,3.9,0.6,0.455,0.349,4,11.5,12.4,1.7,0.8,8.3,22.9
Malachi Richardson,Guard,78,0.388,0.353,0.72,4.4,0.51,0.544,0.381,1.7,12.1,12.8,2,0.9,14,23.2
Malcolm Brogdon,Guard,76,0.466,0.365,0.876,4,0.556,0.362,0.345,2.6,14.3,17.7,1.9,0.9,11.3,25.3
Malcolm Lee,Guard,77,0.533,0.278,0.717,4.2,0.536,0.361,0.43,3.6,9.5,15,1.6,0.8,15.9,21.1
Malik Beasley,Guard,76,0.518,0.387,0.813,4.1,0.583,0.361,0.326,5,15.1,9.8,1.8,0.6,11.5,24.2
Malik Monk,Guard,75,0.497,0.397,0.822,3.2,0.586,0.47,0.323,1.1,7.3,13.3,1.6,1.5,10.4,27.2
Marcus Morris Sr.,Forward,80,0.585,0.358,0.66,5.6,0.601,0.134,0.514,12.1,16.7,10.2,1.9,1.8,13.1,24.5
Marcus Paige,Guard,72,0.446,0.375,0.844,3,0.553,0.542,0.279,1.3,8.3,22.3,2.5,0.8,14.1,20.2
Marcus Smart,Guard,76,0.488,0.295,0.751,5,0.542,0.388,0.612,5.2,15.1,28.4,5.2,2.1,16.4,28.2
Markel Brown,Guard,75,0.486,0.347,0.733,4.1,0.545,0.335,0.442,3,13.6,16.2,2,3,13.6,22.2
Markelle Fultz,Guard,76,0.502,0.413,0.649,3.9,0.558,0.287,0.383,4,13.9,35.5,2.5,3.1,13.4,31.4
Markieff Morris,Forward,81,0.579,0.404,0.653,7.4,0.603,0.152,0.504,13,22.9,10.9,1.7,4.8,18.4,21.8
Marquese Chriss,Forward,81,0.568,0.35,0.682,8.3,0.585,0.178,0.382,9.8,11.6,6.3,1.9,5.8,14.7,24.1
Marquis Teague,Guard,74,0.438,0.325,0.714,4.2,0.491,0.227,0.338,1.6,7.1,25.6,1.7,0.8,21.1,20.2
MarShon Brooks,Guard,77,0.543,0.333,0.739,4.2,0.559,0.375,0.318,6.4,12.3,13.5,2.5,2.5,12.4,27.9
Marvin Bagley III,Forward,82,0.647,0.397,0.627,3,0.643,0.132,0.475,13.8,21.5,8.8,1.4,2.6,12.2,26.3
Mason Plumlee,Forward-Center,84,0.578,0.2,0.583,5.5,0.584,0.011,0.622,10.8,23.7,11.1,1.8,5,19.2,20.2
Matisse Thybulle,Guard-Forward,77,0.507,0.358,0.782,5.4,0.55,0.52,0.21,3.4,8.4,12.8,4.7,4.9,18.2,17
Maurice Harkless,Forward-Guard,79,0.506,0.215,0.676,3.8,0.504,0.185,0.326,8.4,20.3,9.6,2.6,4.2,14,24.9
Melvin Frazier Jr.,Guard-Forward,77,0.572,0.312,0.653,4.2,0.56,0.349,0.406,4.8,13.2,12.8,3.3,1.8,17.4,20.6
Meyers Leonard,Forward-Center,84,0.585,0.083,0.729,6.9,0.601,0.034,0.413,8.1,23.1,8.5,1,6.5,18.4,21.1
Mfiondu Kabengele,Center,82,0.526,0.374,0.724,7.4,0.58,0.182,0.558,12.6,20.2,3.4,1.6,7.5,11.6,26.9
Michael Carter-Williams,Guard,77,0.438,0.307,0.679,4.3,0.493,0.303,0.462,4,12.7,39.1,4.7,2,21.8,21.3
Michael Kidd-Gilchrist,Forward,78,0.535,0.255,0.745,4.7,0.57,0.156,0.589,10.3,17.3,10.8,1.9,2.8,17.3,20.6
Mikal Bridges,Guard-Forward,78,0.645,0.4,0.845,4.8,0.656,0.49,0.304,5.3,13.4,10.3,3,3.6,11,18.3
Mike Muscala,Forward-Center,83,0.51,0.313,0.819,5.1,0.574,0.046,0.482,10.1,24.9,13.7,0.9,7.9,10.9,28.4
Mike Scott,Forward,79,0.528,0.364,0.775,3.9,0.575,0.039,0.405,10.4,24.2,8.9,1.3,1.4,13.6,24.1
Miles Bridges,Forward,79,0.537,0.375,0.776,3.1,0.576,0.413,0.245,5.4,20.4,15.8,1.2,3.6,12.7,27.2
Miles Plumlee,Center,83,0.557,1,0.625,8,0.575,0.002,0.426,13.8,21.7,3.9,1.7,3.7,19.6,16.2
Mitch McGary,Forward,82,0.592,0,0.513,7.6,0.582,0.007,0.272,15.9,25.1,7.5,3.7,3.7,16,21
Miye Oni,Guard-Forward,77,0.49,0.356,0.777,5.1,0.547,0.465,0.286,3.1,18.7,19.9,1.5,3.4,15.7,25.8
Mo Bamba,Center,84,0.603,0.275,0.681,5,0.593,0.189,0.441,12.2,28.2,3.6,1.5,13.1,12.3,21.3
Monte Morris,Guard,74,0.517,0.381,0.78,2.5,0.566,0.299,0.272,2.7,9.2,27.5,2.7,0.9,9.9,17.7
Montrezl Harrell,Forward-Center,79,0.6,0.275,0.533,4.3,0.586,0.044,0.447,11.1,18.5,7.4,1.8,4.4,11.6,21
Moritz Wagner,Forward-Center,83,0.643,0.385,0.698,7.4,0.633,0.371,0.301,7.3,19.6,5.5,2.3,1.9,12.5,24.7
Myles Turner,Center-Forward,83,0.513,0.274,0.839,6.9,0.556,0.241,0.436,7.2,24.9,6.2,0.8,12.3,13.2,25.1
Nassir Little,Forward-Guard,77,0.527,0.269,0.77,4.7,0.549,0.19,0.365,9.2,16.8,6.4,1.5,3.3,13,25.2
Nate Wolters,Guard,76,0.49,0.342,0.803,3.3,0.56,0.269,0.47,3.4,14.6,33.9,2.7,0.5,11.8,29.3
Nerlens Noel,Center-Forward,82,0.59,NA,0.529,4.9,0.583,0,0.627,10.4,23.9,9.5,3.9,13.2,17.3,17.4
Nic Claxton,Center,83,0.5,0.302,0.611,5.7,0.526,0.217,0.649,9.9,19.2,9.1,1.5,8.4,14.8,20.2
Nick Johnson,Guard,75,0.459,0.359,0.734,4,0.535,0.383,0.399,2.3,12,18.8,2.5,2,13.6,22.7
Nick Richards,Center,84,0.627,NA,0.728,7.6,0.66,0,0.641,12.8,18.7,2.3,0.3,8.7,14.7,18.2
Nickeil Alexander-Walker,Guard,77,0.529,0.383,0.763,3.8,0.582,0.448,0.306,2.5,13.4,18.7,2.8,2.4,16.1,24.6
Nico Mannion,Guard,74,0.444,0.327,0.797,3,0.52,0.441,0.362,0.9,7.9,31.5,2.1,0,16,24.5
Nik Stauskas,Guard,78,0.5,0.441,0.832,1.9,0.638,0.564,0.421,1.8,9.5,13.4,1.1,0.9,11.8,21
Nikola Vucevic,Center,82,0.551,0.303,0.746,5.2,0.571,0.169,0.355,10.8,24.5,10.1,1,4.4,13.3,22.7
Noah Vonleh,Forward,82,0.53,0.485,0.716,5.9,0.604,0.153,0.62,10.8,27.3,4.9,1.9,5.4,18.6,21.4
Nolan Smith,Guard,74,0.482,0.368,0.8,3.1,0.551,0.303,0.345,3.5,7.9,21.1,2.1,0.4,14.4,25.6
Norman Powell,Guard,76,0.533,0.314,0.746,4.8,0.548,0.325,0.318,1.9,11.9,11.5,2.6,1.7,12.5,20.3
Norris Cole,Guard,74,0.48,0.321,0.826,4.2,0.539,0.278,0.377,2,13,26,3.5,0.3,13.4,26.8
O.G. Anunoby,Forward,79,0.652,0.365,0.522,5.7,0.609,0.311,0.378,10,13.8,8.6,3.2,5.5,16.1,19
Obi Toppin,Forward,81,0.688,0.417,0.706,3.9,0.687,0.149,0.331,6.4,19.7,15.1,1.6,3.9,14.1,26.7
Omari Spellman,Forward,80,0.511,0.433,0.7,4.7,0.588,0.446,0.208,9.9,23.1,4.3,1.3,5.5,9.8,18.3
Onyeka Okongwu,Forward-Center,81,0.621,0.25,0.72,5,0.645,0.014,0.504,12.4,18.4,8.4,2.3,9.8,13.7,23.6
Otto Porter Jr.,Forward,80,0.55,0.355,0.751,3.8,0.585,0.264,0.41,7.7,20.3,14.9,2.9,3.1,10.8,20.9
P.J. Washington,Forward,79,0.547,0.384,0.632,5.3,0.577,0.159,0.619,9,17.4,11.8,1.6,4.2,14.8,23.3
Pascal Siakam,Forward,80,0.559,0.176,0.711,5,0.586,0.021,0.424,13.5,20.9,11.1,1.7,6.2,12,25.4
Pat Connaughton,Guard,77,0.549,0.386,0.777,3.3,0.587,0.607,0.188,3.9,18.6,11.1,1.3,1.6,9.8,16.9
Patrick McCaw,Guard,79,0.527,0.367,0.753,3.4,0.567,0.548,0.26,3.3,10.8,20.7,3.6,1.1,15.2,20
Paul Reed,Forward,81,0.568,0.33,0.739,5.8,0.583,0.138,0.266,11.3,25.1,8.8,2.8,7.9,14.7,22
Payton Pritchard,Guard,73,0.495,0.379,0.8,3.9,0.569,0.505,0.279,2.4,10.8,25.9,2.6,0.2,14.6,21.2
Perry Jones III,Forward,83,0.539,0.279,0.678,4.4,0.558,0.065,0.363,10.4,17.8,8.3,1.3,2.6,13.9,22.4
Peyton Siva,Guard,72,0.482,0.291,0.737,6,0.516,0.344,0.4,1.4,9.2,34.1,4,0.6,24.6,20.7
Pierre Jackson,Guard,70,0.496,0.379,0.808,4.1,0.583,0.468,0.417,2.8,9.2,39.1,3,0.1,19.5,27.1
Precious Achiuwa,Forward,80,0.514,0.325,0.599,4.2,0.534,0.108,0.507,11.4,24.6,7.5,2,6.4,16,27.7
Quincy Acy,Forward,79,0.604,0.429,0.708,5.7,0.635,0.008,0.594,10.8,17.9,5.3,1.7,5.3,16.7,19.1
Quincy Miller,Forward,81,0.475,0.348,0.816,4.6,0.541,0.223,0.369,7.5,17.5,11.6,1.7,2.9,15.4,23.9
Quinndary Weatherspoon,Guard,75,0.539,0.368,0.788,4.3,0.585,0.345,0.356,5.4,13.3,15.5,2.8,1.2,15.1,24.8
Rakeem Christmas,Forward,81,0.56,0,0.681,7.5,0.588,0.001,0.458,10.2,17.6,6,1.5,9.8,15.4,17.4
Rashad Vaughn,Guard,78,0.481,0.383,0.694,4.5,0.547,0.43,0.299,2.3,13.7,11.8,1.5,1.1,11.8,30.8
Ray McCallum,Guard,75,0.536,0.29,0.723,3.4,0.556,0.286,0.506,4.2,13.1,25.9,2.9,1,13.8,23.7
Ray Spalding,Forward,81,0.571,0.24,0.579,7,0.57,0.042,0.414,12,20.1,7.9,2.8,5.5,15.5,19.4
Reggie Bullock,Guard-Forward,78,0.517,0.387,0.72,2.7,0.568,0.596,0.145,6.6,15.5,12.1,2,0.8,9.7,18.2
Reggie Jackson,Guard,74,0.527,0.351,0.753,3.5,0.56,0.352,0.302,5.5,12.8,26.8,1.6,1.6,15.3,24.8
Reggie Perry,Forward-Center,80,0.544,0.309,0.748,6.4,0.58,0.183,0.516,12.8,24,11.1,1.5,3.8,15.8,25.1
Richaun Holmes,Forward,80,0.58,0.353,0.697,5.7,0.605,0.117,0.499,11.5,18.9,5.9,1.8,11,13.7,21.8
RJ Barrett,Forward-Guard,78,0.529,0.308,0.665,2.9,0.532,0.338,0.319,4.8,17.2,23.5,1.4,1.2,13.2,32.2
RJ Hunter,Guard,77,0.505,0.354,0.853,3.8,0.579,0.541,0.397,2.5,14.4,15,3.4,3.4,9.7,27.5
Robbie Hummel,Forward,81,0.483,0.389,0.841,4.1,0.577,0.422,0.353,5.9,22.7,13.8,1.6,3.2,8.2,24.2
Robert Sacre,Center,84,0.505,0.25,0.735,5.9,0.575,0.005,0.756,10.3,17.2,6.1,1.4,6.7,16.6,22.8
Robert Williams III,Center-Forward,81,0.624,0.067,0.541,4.6,0.59,0.06,0.343,11.9,24,11.4,1.7,10.5,15.5,21.4
Robert Woodard II,Forward,78,0.527,0.368,0.617,3.5,0.548,0.265,0.297,8.7,16.1,7.6,1.9,3.3,14,17.7
Romeo Langford,Guard-Forward,77,0.53,0.272,0.722,3.2,0.542,0.316,0.491,4.8,12.8,14.2,1.3,2.7,12.2,26.1
Rondae Hollis-Jefferson,Forward,78,0.52,0.205,0.697,5.6,0.56,0.075,0.682,9.7,18,10.5,2.1,3.8,13,20.2
Royce White,Forward,80,0.541,0.333,0.498,4.9,0.536,0.037,0.625,9.4,26.2,34.5,2.2,3,23.4,26.5
Rui Hachimura,Forward,80,0.607,0.316,0.746,4.6,0.629,0.095,0.474,6.8,17.4,7.4,1.7,2.6,10.9,26.9
Russ Smith,Guard,72,0.449,0.345,0.76,5.9,0.528,0.347,0.428,3.4,9.4,25,4.7,0.3,14.9,32.6
Ryan Kelly,Forward,83,0.513,0.379,0.805,5.7,0.585,0.394,0.399,6.8,15.2,9,1.7,5,11.4,18.8
Saben Lee,Guard,74,0.527,0.328,0.718,3.9,0.567,0.283,0.553,2.1,10.5,27.7,2.4,0.7,17.9,24.9
Saddiq Bey,Forward,79,0.522,0.418,0.728,4.4,0.594,0.506,0.225,6.4,11.8,11.7,1.6,1.2,10,18.5
Sam Dekker,Forward,80,0.591,0.348,0.695,2.8,0.585,0.403,0.317,7.5,15.1,10.5,1.5,1.7,8.9,22.9
Sam Merrill,Guard,76,0.52,0.42,0.891,4.1,0.624,0.499,0.331,1.1,11,22.2,1.7,0.7,10.6,22.8
Semaj Christon,Guard,75,0.476,0.338,0.67,4.2,0.525,0.098,0.536,1.1,8.7,28.5,2.5,0.6,16.7,28.2
Shabazz Muhammad,Guard-Forward,78,0.463,0.377,0.711,3.1,0.528,0.232,0.395,9.9,9.3,5.8,1.3,0.4,8.6,29.8
Shabazz Napier,Guard,72,0.444,0.375,0.813,4,0.562,0.479,0.433,2.7,11.6,29.2,3.4,0.7,16.7,24
Shai Gilgeous-Alexander,Guard,78,0.5,0.404,0.817,2.8,0.578,0.151,0.464,3.2,10,28.8,2.8,1.7,17.9,21.9
Shake Milton,Guard-Forward,77,0.478,0.427,0.791,2.8,0.595,0.518,0.295,1.5,11.3,21.3,2,1.4,14,19.7
Shane Larkin,Guard,71,0.491,0.375,0.808,3.2,0.566,0.46,0.311,2,10.7,23.4,3.5,0.3,17.5,20.4
Shelvin Mack,Guard,75,0.48,0.357,0.755,3.6,0.544,0.493,0.303,2.4,13.7,25.4,2.1,0.3,14.5,26.3
Sindarius Thornwell,Guard,76,0.42,0.339,0.771,4.5,0.518,0.347,0.486,5.7,13,20.4,2.8,2.2,15,25.8
Skal Labissiere,Forward-Center,82,0.521,0,0.661,11.2,0.54,0.011,0.326,7.3,14.7,3.6,0.9,10.3,13.1,22.2
Skylar Mays,Guard,76,0.52,0.345,0.845,3.2,0.58,0.429,0.409,1.8,11.4,17.1,3,0.7,14.6,20
Solomon Hill,Forward,78,0.528,0.375,0.745,5,0.582,0.303,0.453,7.8,15.8,15.8,1.9,1.3,19.1,19.7
Spencer Dinwiddie,Guard,77,0.446,0.386,0.83,4.2,0.599,0.432,0.733,2,11.3,18.9,2.3,1.2,14.1,21.8
Stanley Johnson,Forward-Guard,78,0.478,0.371,0.742,5.6,0.551,0.297,0.456,8.9,19.1,11.6,3.2,1.6,14.7,26.6
Stephen Zimmerman,Center,84,0.492,0.294,0.624,6.3,0.519,0.079,0.472,8.8,26.5,6.4,1.1,7.5,17.1,21.9
Sterling Brown,Guard-Forward,77,0.534,0.451,0.77,5.4,0.616,0.363,0.322,6.9,14.8,15.6,2.5,1.9,18.9,16.7
Steven Adams,Center,83,0.571,NA,0.443,4.6,0.555,0,0.4,15.3,21,5.4,1.9,11.2,14.4,17.7
Svi Mykhailiuk,Guard-Forward,79,0.455,0.409,0.746,4.2,0.563,0.587,0.136,3.6,8.6,11.3,1.8,0.9,12.2,19.3
T.J. Leaf,Forward,82,0.644,0.466,0.679,4.6,0.66,0.152,0.278,9,19.7,13.2,1.1,3.5,10.8,22
T.J. Warren,Forward,80,0.598,0.315,0.654,4.8,0.593,0.15,0.313,10.3,11,7.4,2.9,1.7,9.7,28.6
Talen Horton-Tucker,Guard,76,0.475,0.308,0.625,4.9,0.488,0.416,0.23,2.9,16.7,16.2,2.8,2.7,12.4,26.2
Taurean Prince,Forward,78,0.504,0.376,0.718,6.4,0.557,0.34,0.349,9.1,15.5,12.1,2.9,2.7,15.7,27.3
Terance Mann,Guard-Forward,77,0.601,0.327,0.67,4.4,0.602,0.18,0.421,8.5,13.6,13.7,1.7,1,14.8,17.2
Terrence Jones,Forward,81,0.493,0.328,0.638,4.8,0.526,0.156,0.489,9.8,19.9,9.5,2.4,5.9,11.9,25.4
Terrence Ross,Guard-Forward,79,0.528,0.364,0.764,5.6,0.557,0.456,0.181,4.9,16.8,9.4,2.1,2.6,11,23.8
Terry Rozier,Guard,73,0.447,0.331,0.772,3.5,0.507,0.337,0.303,4,13.9,18.6,3.4,0.4,10.5,24.7
Thomas Bryant,Center-Forward,82,0.63,0.373,0.718,6.7,0.648,0.146,0.551,10.4,18,9,1.4,5,17.3,22.1
Thomas Robinson,Forward,82,0.525,0.5,0.606,6.5,0.55,0.019,0.502,13.8,31.2,11,1.9,3.9,15.6,28.3
Thomas Welsh,Center,84,0.554,0.407,0.798,5.6,0.582,0.114,0.175,10.7,22.7,5.5,0.9,4.5,7.7,17.1
Tim Hardaway Jr.,Guard-Forward,77,0.5,0.343,0.724,3.8,0.539,0.475,0.308,2.2,13.7,13.1,1.4,1,11.4,25.2
